t,popsize,poptype,poplocation
12.1555,5.0962,N0,Lumen
12.1555,1.92783,N1,Lumen
12.2977,5.19838,N0,Wall
12.2977,2.45112,N1,Wall
12.2977,5.19403,N0,Lumen
12.2977,1.94269,N1,Lumen
12.439,5.2976,N0,Wall
12.439,2.47616,N1,Wall
12.439,5.29311,N0,Lumen
12.439,1.95757,N1,Lumen
12.5794,5.39808,N0,Wall
12.5794,2.50129,N1,Wall
12.5794,5.39343,N0,Lumen
12.5794,1.97247,N1,Lumen
12.719,5.49982,N0,Wall
12.719,2.5265,N1,Wall
12.719,5.495,N0,Lumen
12.719,1.98739,N1,Lumen
12.8577,5.60283,N0,Wall
12.8577,2.55181,N1,Wall
12.8577,5.59784,N0,Lumen
12.8577,2.00233,N1,Lumen
12.9955,5.70711,N0,Wall
12.9955,2.5772,N1,Wall
12.9955,5.70196,N0,Lumen
12.9955,2.01729,N1,Lumen
13.1325,5.81267,N0,Wall
13.1325,2.60268,N1,Wall
13.1325,5.80735,N0,Lumen
13.1325,2.03227,N1,Lumen
13.2687,5.91953,N0,Wall
13.2687,2.62825,N1,Wall
13.2687,5.91402,N0,Lumen
13.2687,2.04727,N1,Lumen
13.404,6.02768,N0,Wall
13.404,2.65391,N1,Wall
13.404,6.022,N0,Lumen
13.404,2.06229,N1,Lumen
13.5385,6.13714,N0,Wall
13.5385,2.67966,N1,Wall
13.5385,6.13127,N0,Lumen
13.5385,2.07733,N1,Lumen
13.6723,6.24791,N0,Wall
13.6723,2.70549,N1,Wall
13.6723,6.24186,N0,Lumen
13.6723,2.09238,N1,Lumen
13.8052,6.36001,N0,Wall
13.8052,2.73141,N1,Wall
13.8052,6.35376,N0,Lumen
13.8052,2.10745,N1,Lumen
13.9374,6.47343,N0,Wall
13.9374,2.75742,N1,Wall
13.9374,6.46699,N0,Lumen
13.9374,2.12255,N1,Lumen
14.0687,6.58819,N0,Wall
14.0687,2.78351,N1,Wall
14.0687,6.58155,N0,Lumen
14.0687,2.13766,N1,Lumen
14.1993,6.7043,N0,Wall
14.1993,2.80969,N1,Wall
14.1993,6.69746,N0,Lumen
14.1993,2.15279,N1,Lumen
14.3292,6.82176,N0,Wall
14.3292,2.83595,N1,Wall
14.3292,6.81471,N0,Lumen
14.3292,2.16794,N1,Lumen
14.4583,6.94058,N0,Wall
14.4583,2.8623,N1,Wall
14.4583,6.93332,N0,Lumen
14.4583,2.18311,N1,Lumen
14.5867,7.06077,N0,Wall
14.5867,2.88874,N1,Wall
14.5867,7.0533,N0,Lumen
14.5867,2.19829,N1,Lumen
14.7143,7.18234,N0,Wall
14.7143,2.91526,N1,Wall
14.7143,7.17464,N0,Lumen
14.7143,2.2135,N1,Lumen
14.8412,7.30529,N0,Wall
14.8412,2.94187,N1,Wall
14.8412,7.29737,N0,Lumen
14.8412,2.22872,N1,Lumen
14.9674,7.42963,N0,Wall
14.9674,2.96856,N1,Wall
14.9674,7.42149,N0,Lumen
14.9674,2.24396,N1,Lumen
15.0929,7.55537,N0,Wall
15.0929,2.99534,N1,Wall
15.0929,7.547,N0,Lumen
15.0929,2.25922,N1,Lumen
15.2177,7.68252,N0,Wall
15.2177,3.0222,N1,Wall
15.2177,7.67392,N0,Lumen
15.2177,2.27449,N1,Lumen
15.3418,7.81108,N0,Wall
15.3418,3.04914,N1,Wall
15.3418,7.80224,N0,Lumen
15.3418,2.28979,N1,Lumen
15.4653,7.94107,N0,Wall
15.4653,3.07617,N1,Wall
15.4653,7.93199,N0,Lumen
15.4653,2.3051,N1,Lumen
15.588,8.07249,N0,Wall
15.588,3.10328,N1,Wall
15.588,8.06316,N0,Lumen
15.588,2.32043,N1,Lumen
15.7101,8.20535,N0,Wall
15.7101,3.13047,N1,Wall
15.7101,8.19577,N0,Lumen
15.7101,2.33578,N1,Lumen
15.8315,8.33965,N0,Wall
15.8315,3.15775,N1,Wall
15.8315,8.32982,N0,Lumen
15.8315,2.35114,N1,Lumen
15.9523,8.47541,N0,Wall
