popsize,popid,Sin,c
316.263,N0,128,3.16228e-06
1.73977e+08,N1,128,3.16228e-06
316.263,N0,129,3.16228e-06
1.75577e+08,N1,129,3.16228e-06
316.262,N0,130,3.16228e-06
1.77177e+08,N1,130,3.16228e-06
316.262,N0,131,3.16228e-06
1.78777e+08,N1,131,3.16228e-06
316.262,N0,132,3.16228e-06
1.80377e+08,N1,132,3.16228e-06
316.261,N0,133,3.16228e-06
1.81977e+08,N1,133,3.16228e-06
316.261,N0,134,3.16228e-06
1.83577e+08,N1,134,3.16228e-06
316.261,N0,135,3.16228e-06
1.85177e+08,N1,135,3.16228e-06
316.26,N0,136,3.16228e-06
1.86777e+08,N1,136,3.16228e-06
316.26,N0,137,3.16228e-06
1.88377e+08,N1,137,3.16228e-06
316.26,N0,138,3.16228e-06
1.89977e+08,N1,138,3.16228e-06
316.26,N0,139,3.16228e-06
1.91577e+08,N1,139,3.16228e-06
316.259,N0,140,3.16228e-06
1.93177e+08,N1,140,3.16228e-06
316.259,N0,141,3.16228e-06
1.94777e+08,N1,141,3.16228e-06
316.259,N0,142,3.16228e-06
1.96377e+08,N1,142,3.16228e-06
316.259,N0,143,3.16228e-06
1.97977e+08,N1,143,3.16228e-06
316.258,N0,144,3.16228e-06
1.99577e+08,N1,144,3.16228e-06
316.258,N0,145,3.16228e-06
2.01177e+08,N1,145,3.16228e-06
316.258,N0,146,3.16228e-06
2.02777e+08,N1,146,3.16228e-06
316.258,N0,147,3.16228e-06
2.04377e+08,N1,147,3.16228e-06
316.257,N0,148,3.16228e-06
2.05977e+08,N1,148,3.16228e-06
316.257,N0,149,3.16228e-06
2.07577e+08,N1,149,3.16228e-06
316.257,N0,150,3.16228e-06
2.09177e+08,N1,150,3.16228e-06
4.00421e-05,N0,10,1e-06
1.52561e-15,N1,10,1e-06
0.000147457,N0,11,1e-06
1.18487e-28,N1,11,1e-06
33.7489,N0,12,1e-06
1.05896e-23,N1,12,1e-06
1108.92,N0,13,1e-06
104863,N1,13,1e-06
5704.51,N0,14,1e-06
10799.2,N1,14,1e-06
10487.3,N0,15,1e-06
64049.3,N1,15,1e-06
10342.4,N0,16,1e-06
31950.4,N1,16,1e-06
9030.14,N0,17,1e-06
55824.1,N1,17,1e-06
7363.42,N0,18,1e-06
58601.9,N1,18,1e-06
1587.26,N0,19,1e-06
157763,N1,19,1e-06
1055.29,N0,20,1e-06
1.16697e+06,N1,20,1e-06
1022.51,N0,21,1e-06
2.77617e+06,N1,21,1e-06
1014.15,N0,22,1e-06
4.38011e+06,N1,22,1e-06
1010.32,N0,23,1e-06
5.97922e+06,N1,23,1e-06
1008.13,N0,24,1e-06
7.57852e+06,N1,24,1e-06
1006.7,N0,25,1e-06
9.17806e+06,N1,25,1e-06
1005.7,N0,26,1e-06
1.07777e+07,N1,26,1e-06
1004.96,N0,27,1e-06
1.23775e+07,N1,27,1e-06
1004.39,N0,28,1e-06
1.39773e+07,N1,28,1e-06
1003.94,N0,29,1e-06
1.55772e+07,N1,29,1e-06
1003.57,N0,30,1e-06
1.7177e+07,N1,30,1e-06
1003.27,N0,31,1e-06
1.87769e+07,N1,31,1e-06
1003.01,N0,32,1e-06
2.03769e+07,N1,32,1e-06
1002.79,N0,33,1e-06
2.19768e+07,N1,33,1e-06
1002.6,N0,34,1e-06
2.35767e+07,N1,34,1e-06
1002.43,N0,35,1e-06
2.51767e+07,N1,35,1e-06
1002.29,N0,36,1e-06
2.67766e+07,N1,36,1e-06
1002.16,N0,37,1e-06
2.83766e+07,N1,37,1e-06
1002.04,N0,38,1e-06
2.99765e+07,N1,38,1e-06
1001.94,N0,39,1e-06
3.15765e+07,N1,39,1e-06
1001.85,N0,40,1e-06
3.31765e+07,N1,40,1e-06
1001.76,N0,41,1e-06
3.47765e+07,N1,41,1e-06
1001.68,N0,42,1e-06
3.63764e+07,N1,42,1e-06
1001.61,N0,43,1e-06
3.79764e+07,N1,43,1e-06
1001.55,N0,44,1e-06
3.95764e+07,N1,44,1e-06
1001.49,N0,45,1e-06
4.11764e+07,N1,45,1e-06
1001.43,N0,46,1e-06
4.27763e+07,N1,46,1e-06
1001.38,N0,47,1e-06
4.43763e+07,N1,47,1e-06
1001.33,N0,48,1e-06
4.59763e+07,N1,48,1e-06
1001.29,N0,49,1e-06
4.75763e+07,N1,49,1e-06
1001.24,N0,50,1e-06
4.91763e+07,N1,50,1e-06
1001.2,N0,51,1e-06
5.07763e+07,N1,51,1e-06
1001.17,N0,52,1e-06
5.23763e+07,N1,52,1e-06
1001.13,N0,53,1e-06
5.39763e+07,N1,53,1e-06
1001.1,N0,54,1e-06
5.55762e+07,N1,54,1e-06
1001.07,N0,55,1e-06
5.71762e+07,N1,55,1e-06
1001.04,N0,56,1e-06
5.87762e+07,N1,56,1e-06
1001.01,N0,57,1e-06
6.03762e+07,N1,57,1e-06
1000.99,N0,58,1e-06
6.19762e+07,N1,58,1e-06
1000.96,N0,59,1e-06
6.35762e+07
