popsize,popid,Sin
4.38366e+07,N0,39.1
8.07747e-05,N1,39.1
4.39966e+07,N0,39.2
7.46477e-05,N1,39.2
4.41566e+07,N0,39.3
7.96511e-05,N1,39.3
4.43166e+07,N0,39.4
8.17623e-05,N1,39.4
4.44766e+07,N0,39.5
7.8696e-05,N1,39.5
4.46366e+07,N0,39.6
8.71642e-05,N1,39.6
4.47966e+07,N0,39.7
8.06324e-05,N1,39.7
4.49566e+07,N0,39.8
8.70946e-05,N1,39.8
4.51166e+07,N0,39.9
8.41297e-05,N1,39.9
4.52766e+07,N0,40
8.86954e-05,N1,40
4.54366e+07,N0,40.1
8.98617e-05,N1,40.1
4.55966e+07,N0,40.2
8.80265e-05,N1,40.2
4.57566e+07,N0,40.3
9.2996e-05,N1,40.3
4.59166e+07,N0,40.4
9.75229e-05,N1,40.4
4.60766e+07,N0,40.5
9.60278e-05,N1,40.5
4.62366e+07,N0,40.6
0.000100001,N1,40.6
4.63966e+07,N0,40.7
9.58361e-05,N1,40.7
4.65566e+07,N0,40.8
9.8646e-05,N1,40.8
4.67166e+07,N0,40.9
0.000107364,N1,40.9
4.68766e+07,N0,41
0.00013619,N1,41
4.70366e+07,N0,41.1
0.000189669,N1,41.1
4.71966e+07,N0,41.2
0.000251549,N1,41.2
4.73566e+07,N0,41.3
0.000352428,N1,41.3
4.75166e+07,N0,41.4
0.000462928,N1,41.4
4.76766e+07,N0,41.5
0.000645692,N1,41.5
4.78366e+07,N0,41.6
0.000868598,N1,41.6
4.79966e+07,N0,41.7
0.00120136,N1,41.7
4.81566e+07,N0,41.8
0.00162466,N1,41.8
4.83166e+07,N0,41.9
0.00222639,N1,41.9
4.84766e+07,N0,42
0.003024,N1,42
4.86366e+07,N0,42.1
0.00401198,N1,42.1
4.87966e+07,N0,42.2
0.00544625,N1,42.2
4.89566e+07,N0,42.3
0.00753064,N1,42.3
4.91166e+07,N0,42.4
0.0103681,N1,42.4
4.92766e+07,N0,42.5
0.0137989,N1,42.5
4.94366e+07,N0,42.6
0.0190108,N1,42.6
4.95966e+07,N0,42.7
0.0256609,N1,42.7
4.97566e+07,N0,42.8
0.0351882,N1,42.8
4.99166e+07,N0,42.9
0.0470578,N1,42.9
5.00766e+07,N0,43
0.0647307,N1,43
5.02366e+07,N0,43.1
0.0885486,N1,43.1
5.03966e+07,N0,43.2
0.120109,N1,43.2
5.05566e+07,N0,43.3
0.164906,N1,43.3
5.07166e+07,N0,43.4
0.221337,N1,43.4
5.08766e+07,N0,43.5
0.304182,N1,43.5
5.10366e+07,N0,43.6
0.407766,N1,43.6
5.11966e+07,N0,43.7
0.555998,N1,43.7
5.13566e+07,N0,43.8
0.763123,N1,43.8
5.15166e+07,N0,43.9
1.03986,N1,43.9
5.16766e+07,N0,44
1.40847,N1,44
5.18366e+07,N0,44.1
1.90947,N1,44.1
5.19966e+07,N0,44.2
2.59218,N1,44.2
5.21566e+07,N0,44.3
3.52043,N1,44.3
5.23166e+07,N0,44.4
4.83841,N1,44.4
5.24766e+07,N0,44.5
6.54311,N1,44.5
5.26366e+07,N0,44.6
8.88972,N1,44.6
5.27966e+07,N0,44.7
12.101,N1,44.7
5.29566e+07,N0,44.8
16.5153,N1,44.8
5.31166e+07,N0,44.9
22.4335,N1,44.9
5.32766e+07,N0,45
30.605,N1,45
5.34365e+07,N0,45.1
41.5044,N1,45.1
5.35965e+07,N0,45.2
56.1548,N1,45.2
5.37565e+07,N0,45.3
76.5078,N1,45.3
5.39165e+07,N0,45.4
104.204,N1,45.4
5.40764e+07,N0,45.5
142.157,N1,45.5
5.42364e+07,N0,45.6
193.254,N1,45.6
5.43963e+07,N0,45.7
261.817,N1,45.7
5.45562e+07,N0,45.8
355.792,N1,45.8
5.4716e+07,N0,45.9
485.389,N1,45.9
5.48758e+07,N0,46
659.796,N1,46
5.50356e+07,N0,46.1
894.603,N1,46.1
5.51952e+07,N0,46.2
1216.57,N1,46.2
5.53547e+07,N0,46.3
1657.63,N1,46.3
5.5514e+07,N0,46.4
2249.53,N1,46.4
5.56731e+07,N0,46.5
3061.56,N1,46.5
5.58319e+07,N0,46.6
4159.5,N1,46.6
5.59902e+07,N0,46.7
5654.47,N1,46.7
5.61479e+07,N0,46.8
7685.09,N1,46.8
5.63048e+07,N0,46.9
10447,N1,46.9
5.64606e+07,N0,47
14194.5,N1,47
5.66148e+07,N0,47.1
19272.2,N1,47.1
5.67671e+07,N0,47.2
26157.4,N1,47.2
5.69165e+07,N0,47.3
35503.5,N1,47.3
5.70623e+07,N0,47.4
48154.6,N1,47.4
5.7203e+07,N0,47.5
65273.3,N1,47.5
5.73368e+07,N0,47.6
88493.1,N1,47.6
5.74616e+07,N0,47.7
119776,N1,47.7
5.7574e+07,N0,47.8
162015,N1,47.8
5.76702e+07,N0,47.9
218721,N1,47.9
5.77444e+07,N0,48
294916,N1,48
5.77901e+07,N0,48.1
396547,N1,48.1
5.77981e+07,N0,48.2
531573,N1,48.2
5.77574e+07,N0,48.3
709957,N1,48.3
5.76547e+07,N0,48.4
943459,N1,48.4
5.74736e+07,N0,48.5
1.24654e+06,N1,48.5
5.7197e+07,N0,48.6
1.63438e+06,N1,48.6
5.68063e+07,N0,48.7
2.12327e+06,N1,48.7
5.6285e+07,N0,48.8
2.72775e+06,N1,48.8
5.56198e+07,N0,48.9
3.45901e+06,N1,48.9
5.4803e+07,N0,49
4.32359e+06,N1,49
5.38389e+07,N0,49.1
5.31691e+06,N1,49.1
5.27422e+07,N0,49.2
6.42533e+06,N1,49.2
5.15361e+07,N0,49.3
7.62765e+06,N1,49.3
5.02558e+07,N0,49.4
8.89219e+06,N1,49.4
4.89353e+07,N0,49.5
1.01888e+07,N1,49.5
4.7611e+07,N0,49.6
1.14854e+07,N1,49.6
4.63141e+07,N0,49.7
1.27547e+07,N1,49.7
4.50657e+07,N0,49.8
1.39786e+07,N1,49.8
4.38824e+07,N0,49.9
1.51432e+07,N1,49.9
4.27702e+07,N0,50
1.62437e+07,N1,50
4.17342e+07,N0,50.1
1.72764e+07,N1,50.1
4.07697e+07,N0,50.2
1.82454e+07,N1,50.2
3.98753e+07,N0,50.3
1.91528e+07,N1,50.3
3.90425e+07,N0,50.4
2.00059e+07,N1,50.4
3.82661e+07,N0,50.5
2.08096e+07,N1,50.5
3.75398e+07,N0,50.6
2.15695e+07,N1,50.6
3.68565e+07,N0,50.7
2.22919e+07,N1,50.7
3.62116e+07,N0,50.8
2.29809e+07,N1,50.8
3.55991e+07,N0,50.9
2.36417e+07,N1,50.9
3.50149e+07,N0,51
2.42778e+07,N1,51
3.44557e+07,N0,51.1
2.48923e+07,N1,51.1
3.39176e+07,N0,51.2
2.54883e+07,N1,51.2
3.33979e+07,N0,51.3
2.60684e+07,N1,51.3
3.28945e+07,N0,51.4
2.66342e+07,N1,51.4
3.24051e+07,N0,51.5
2.71878e+07,N1,51.5
3.19283e+07,N0,51.6
2.77304e+07,N1,51.6
3.14625e+07,N0,51.7
2.82633e+07,N1,51.7
3.10067e+07,N0,51.8
2.87875e+07,N1,51.8
3.05597e+07,N0,51.9
2.93039e+07,N1,51.9
3.01208e+07,N0,52
2.98131e+07,N1,52
2.96894e+07,N0,52.1
3.03158e+07,N1,52.1
2.92647e+07,N0,52.2
3.08125e+07,N1,52.2
2.88463e+07,N0,52.3
3.13036e+07,N1,52.3
2.84339e+07,N0,52.4
3.17893e+07,N1,52.4
2.8027e+07,N0,52.5
3.22701e+07,N1,52.5
2.76254e+07,N0,52.6
3.27463e+07,N1,52.6
2.72289e+07,N0,52.7
3.32179e+07,N1,52.7
2.68372e+07,N0,52.8
3.36852e+07,N1,52.8
2.64502e+07,N0,52.9
3.41483e+07,N1,52.9
2.60678e+07,N0,53
3.46074e+07,N1,53
2.56897e+07,N0,53.1
3.50626e+07,N1,53.1
2.5316e+07,N0,53.2
3.55139e+07,N1,53.2
2.49466e+07,N0,53.3
3.59614e+07,N1,53.3
2.45814e+07,N0,53.4
3.64052e+07,N1,53.4
2.42202e+07,N0,53.5
3.68453e+07,N1,53.5
2.38632e+07,N0,53.6
3.72819e+07,N1,53.6
2.35103e+07,N0,53.7
3.77148e+07,N1,53.7
2.31614e+07,N0,53.8
3.81443e+07,N1,53.8
2.28165e+07,N0,53.9
3.85702e+07,N1,53.9
2.24756e+07,N0,54
3.89926e+07,N1,54
2.21387e+07,N0,54.1
3.94116e+07,N1,54.1
2.18057e+07,N0,54.2
3.98271e+07,N1,54.2
2.14768e+07,N0,54.3
4.02392e+07,N1,54.3
2.11518e+07,N0,54.4
4.06478e+07,N1,54.4
2.08309e+07,N0,54.5
4.10531e+07,N1,54.5
2.05139e+07,N0,54.6
4.14549e+07,N1,54.6
2.02008e+07,N0,54.7
4.18534e+07,N1,54.7
1.98918e+07,N0,54.8
4.22485e+07,N1,54.8
1.95867e+07,N0,54.9
4.26402e+07,N1,54.9
1.92857e+07,N0,55
4.30285e+07,N1,55
1.89886e+07,N0,55.1
4.34135e+07,N1,55.1
1.86955e+07,N0,55.2
4.37952e+07,N1,55.2
1.84065e+07,N0,55.3
4.41734e+07,N1,55.3
1.81214e+07,N0,55.4
4.45484e+07,N1,55.4
1.78404e+07,N0,55.5
4.492e+07,N1,55.5
1.75633e+07,N0,55.6
4.52884e+07,N1,55.6
1.72903e+07,N0,55.7
4.56534e+07,N1,55.7
1.70213e+07,N0,55.8
4.60151e+07,N1,55.8
1.67563e+07,N0,55.9
4.63735e+07,N1,55.9
1.64953e+07,N0,56
4.67287e+07,N1,56
1.62383e+07,N0,56.1
4.70806e+07,N1,56.1
1.59853e+07,N0,56.2
4.74293e+07,N1,56.2
1.57363e+07,N0,56.3
4.77748e+07,N1,56.3
1.54913e+07,N0,56.4
4.8117e+07,N1,56.4
1.52503e+07,N0,56.5
4.84561e+07,N1,56.5
1.50132e+07,N0,56.6
4.8792e+07,N1,56.6
1.478e+07,N0,56.7
4.91248e+07,N1,56.7
1.45508e+07,N0,56.8
4.94544e+07,N1,56.8
1.43255e+07,N0,56.9
4.97809e+07,N1,56.9
1.4104e+07,N0,57
5.01044e+07,N1,57
1.38865e+07,N0,57.1
5.04248e+07,N1,57.1
1.36728e+07,N0,57.2
5.07421e+07,N1,57.2
1.34629e+07,N0,57.3
5.10565e+07,N1,57.3
1.32568e+07,N0,57.4
5.13679e+07,N1,57.4
1.30544e+07,N0,57.5
5.16764e+07,N1,57.5
1.28558e+07,N0,57.6
5.1982e+07,N1,57.6
1.26609e+07,N0,57.7
5.22847e+07,N1,57.7
1.24696e+07,N0,57.8
5.25845e+07,N1,57.8
1.2282e+07,N0,57.9
5.28816e+07,N1,57.9
1.20979e+07,N0,58
5.31759e+07,N1,58
