pars,popsize,population,location
113,1.72395e+08,N1,Wall
113,4.27999e+07,N0,Lumen
113,53.9027,N1,Lumen
114,1.28482e+06,N0,Wall
114,1.73998e+08,N1,Wall
114,4.27999e+07,N0,Lumen
114,54.4037,N1,Lumen
115,1.28153e+06,N0,Wall
115,1.75601e+08,N1,Wall
115,4.27999e+07,N0,Lumen
115,54.9047,N1,Lumen
116,1.2783e+06,N0,Wall
116,1.77204e+08,N1,Wall
116,4.27999e+07,N0,Lumen
116,55.4056,N1,Lumen
117,1.27515e+06,N0,Wall
117,1.78807e+08,N1,Wall
117,4.27999e+07,N0,Lumen
117,55.9066,N1,Lumen
118,1.27207e+06,N0,Wall
118,1.8041e+08,N1,Wall
118,4.27999e+07,N0,Lumen
118,56.4075,N1,Lumen
119,1.26906e+06,N0,Wall
119,1.82013e+08,N1,Wall
119,4.27999e+07,N0,Lumen
119,56.9085,N1,Lumen
120,1.26612e+06,N0,Wall
120,1.83616e+08,N1,Wall
120,4.27999e+07,N0,Lumen
120,57.4093,N1,Lumen
121,1.26324e+06,N0,Wall
121,1.85219e+08,N1,Wall
121,4.27999e+07,N0,Lumen
121,57.9102,N1,Lumen
122,1.26042e+06,N0,Wall
122,1.86822e+08,N1,Wall
122,4.27999e+07,N0,Lumen
122,58.411,N1,Lumen
123,1.25766e+06,N0,Wall
123,1.88424e+08,N1,Wall
123,4.27999e+07,N0,Lumen
123,58.9118,N1,Lumen
124,1.25496e+06,N0,Wall
124,1.90027e+08,N1,Wall
124,4.27999e+07,N0,Lumen
124,59.4126,N1,Lumen
125,1.25231e+06,N0,Wall
125,1.91629e+08,N1,Wall
125,4.27999e+07,N0,Lumen
125,59.9134,N1,Lumen
126,1.24972e+06,N0,Wall
126,1.93232e+08,N1,Wall
126,4.27999e+07,N0,Lumen
126,60.4142,N1,Lumen
127,1.24718e+06,N0,Wall
127,1.94834e+08,N1,Wall
127,4.27999e+07,N0,Lumen
127,60.9149,N1,Lumen
128,1.24469e+06,N0,Wall
128,1.96437e+08,N1,Wall
128,4.27999e+07,N0,Lumen
128,61.4157,N1,Lumen
129,1.24225e+06,N0,Wall
129,1.98039e+08,N1,Wall
129,4.27999e+07,N0,Lumen
129,61.9164,N1,Lumen
130,1.23986e+06,N0,Wall
130,1.99641e+08,N1,Wall
130,4.27999e+07,N0,Lumen
130,62.4171,N1,Lumen
131,1.23752e+06,N0,Wall
131,2.01243e+08,N1,Wall
131,4.27999e+07,N0,Lumen
131,62.9178,N1,Lumen
132,1.23522e+06,N0,Wall
132,2.02846e+08,N1,Wall
132,4.27999e+07,N0,Lumen
132,63.4185,N1,Lumen
133,1.23297e+06,N0,Wall
133,2.04448e+08,N1,Wall
133,4.27999e+07,N0,Lumen
133,63.9192,N1,Lumen
134,1.23076e+06,N0,Wall
134,2.0605e+08,N1,Wall
134,4.27999e+07,N0,Lumen
134,64.4198,N1,Lumen
135,1.22859e+06,N0,Wall
135,2.07652e+08,N1,Wall
135,4.27999e+07,N0,Lumen
135,64.9205,N1,Lumen
136,1.22646e+06,N0,Wall
136,2.09254e+08,N1,Wall
136,4.27999e+07,N0,Lumen
136,65.4211,N1,Lumen
137,1.22437e+06,N0,Wall
137,2.10856e+08,N1,Wall
137,4.27999e+07,N0,Lumen
137,65.9218,N1,Lumen
138,1.22231e+06,N0,Wall
138,2.12458e+08,N1,Wall
138,4.27999e+07,N0,Lumen
138,66.4223,N1,Lumen
139,1.2203e+06,N0,Wall
139,2.1406e+08,N1,Wall
139,4.27999e+07,N0,Lumen
139,66.923,N1,Lumen
140,1.21832e+06,N0,Wall
140,2.15662e+08,N1,Wall
140,4.27999e+07,N0,Lumen
140,67.4235,N1,Lumen
141,1.21638e+06,N0,Wall
141,2.17264e+08,N1,Wall
141,4.27999e+07,N0,Lumen
141,67.9241,N1,Lumen
142,1.21447e+06,N0,Wall
142,2.18866e+08,N1,Wall
142,4.27999e+07,N0,Lumen
142,68.4247,N1,Lumen
143,1.21259e+06,N0,Wall
143,2.20467e+08,N1,Wall
143,4.27999e+07,N0,Lumen
143,68.9252,N1,Lumen
144,1.21075e+06,N0,Wall
144,2.22069e+08,N1,Wall
144,4.27999e+07,N0,Lumen
144,69.4258,N1,Lumen
145,1.20894e+06,N0,Wall
145,2.23671e+08,N1,Wall
145,4.27999e+07,N0,Lumen
145,69.9263,N1,Lumen
146,1.20716e+06,N0,Wall
146,2.25273e+08,N1,Wall
146,4.27999e+07,N0,Lumen
146,70.4269,N1,Lumen
147,1.20541e+06,N0,Wall
147,2.26874e+08,N1,Wall
147,4.27999e+07,N0,Lumen
147,70.9274,N1,Lumen
148,1.20369e+06,N0,Wall
148,2.28476e+08,N1,Wall
148,4.27999e+07,N0,Lumen
148,71.4279,N1,Lumen
149,1.202e+06,N0,Wall
149,2.30077e+08,N1,Wall
149,4.27999e+07,N0,Lumen
149,71.9284,N1,Lumen
