pars1,popsize,population,location
81,2232.13,N0,Wall
81,0,N1,Wall
81,14.0552,N0,Lumen
81,1950.24,N1,Lumen
82,2232.13,N0,Wall
82,0,N1,Wall
82,14.0399,N0,Lumen
82,1950.1,N1,Lumen
83,2232.13,N0,Wall
83,0,N1,Wall
83,14.0251,N0,Lumen
83,1949.97,N1,Lumen
84,2232.13,N0,Wall
84,0,N1,Wall
84,14.0107,N0,Lumen
84,1949.84,N1,Lumen
85,2232.13,N0,Wall
85,0,N1,Wall
85,13.9968,N0,Lumen
85,1949.71,N1,Lumen
86,2232.13,N0,Wall
86,0,N1,Wall
86,13.9832,N0,Lumen
86,1949.58,N1,Lumen
87,2232.13,N0,Wall
87,0,N1,Wall
87,13.97,N0,Lumen
87,1949.46,N1,Lumen
88,2232.13,N0,Wall
88,0,N1,Wall
88,13.9571,N0,Lumen
88,1949.34,N1,Lumen
89,2232.13,N0,Wall
89,0,N1,Wall
89,13.9446,N0,Lumen
89,1949.23,N1,Lumen
90,2232.13,N0,Wall
90,0,N1,Wall
90,13.9325,N0,Lumen
90,1949.12,N1,Lumen
91,2232.13,N0,Wall
91,0,N1,Wall
91,13.9206,N0,Lumen
91,1949.01,N1,Lumen
92,2232.13,N0,Wall
92,0,N1,Wall
92,13.9091,N0,Lumen
92,1948.9,N1,Lumen
93,2232.13,N0,Wall
93,0,N1,Wall
93,13.8978,N0,Lumen
93,1948.8,N1,Lumen
94,2232.13,N0,Wall
94,0,N1,Wall
94,13.8868,N0,Lumen
94,1948.69,N1,Lumen
95,2232.13,N0,Wall
95,0,N1,Wall
95,13.8761,N0,Lumen
95,1948.59,N1,Lumen
96,2232.13,N0,Wall
96,0,N1,Wall
96,13.8657,N0,Lumen
96,1948.5,N1,Lumen
97,2232.13,N0,Wall
97,0,N1,Wall
97,13.8555,N0,Lumen
97,1948.4,N1,Lumen
98,2232.13,N0,Wall
98,0,N1,Wall
98,13.8456,N0,Lumen
98,1948.31,N1,Lumen
99,2232.13,N0,Wall
99,0,N1,Wall
99,13.8359,N0,Lumen
99,1948.22,N1,Lumen
100,2232.13,N0,Wall
100,0,N1,Wall
100,13.8264,N0,Lumen
100,1948.13,N1,Lumen
101,2232.13,N0,Wall
101,0,N1,Wall
101,13.8171,N0,Lumen
