N0,N1,Sin,c
316.265,1.65977e+08,123,3.16228e-06
316.264,1.67577e+08,124,3.16228e-06
316.264,1.69177e+08,125,3.16228e-06
316.264,1.70777e+08,126,3.16228e-06
316.263,1.72377e+08,127,3.16228e-06
316.263,1.73977e+08,128,3.16228e-06
316.263,1.75577e+08,129,3.16228e-06
316.262,1.77177e+08,130,3.16228e-06
316.262,1.78777e+08,131,3.16228e-06
316.262,1.80377e+08,132,3.16228e-06
316.261,1.81977e+08,133,3.16228e-06
316.261,1.83577e+08,134,3.16228e-06
316.261,1.85177e+08,135,3.16228e-06
316.26,1.86777e+08,136,3.16228e-06
316.26,1.88377e+08,137,3.16228e-06
316.26,1.89977e+08,138,3.16228e-06
316.26,1.91577e+08,139,3.16228e-06
316.259,1.93177e+08,140,3.16228e-06
316.259,1.94777e+08,141,3.16228e-06
316.259,1.96377e+08,142,3.16228e-06
316.259,1.97977e+08,143,3.16228e-06
316.258,1.99577e+08,144,3.16228e-06
316.258,2.01177e+08,145,3.16228e-06
316.258,2.02777e+08,146,3.16228e-06
316.258,2.04377e+08,147,3.16228e-06
316.257,2.05977e+08,148,3.16228e-06
316.257,2.07577e+08,149,3.16228e-06
316.257,2.09177e+08,150,3.16228e-06
4.00421e-05,1.52561e-15,10,1e-06
0.000147457,1.18487e-28,11,1e-06
33.7489,1.05896e-23,12,1e-06
1108.92,104863,13,1e-06
5704.51,10799.2,14,1e-06
10487.3,64049.3,15,1e-06
10342.4,31950.4,16,1e-06
9030.14,55824.1,17,1e-06
7363.42,58601.9,18,1e-06
1587.26,157763,19,1e-06
1055.29,1.16697e+06,20,1e-06
1022.51,2.77617e+06,21,1e-06
1014.15,4.38011e+06,22,1e-06
1010.32,5.97922e+06,23,1e-06
1008.13,7.57852e+06,24,1e-06
1006.7,9.17806e+06,25,1e-06
1005.7,1.07777e+07,26,1e-06
1004.96,1.23775e+07,27,1e-06
1004.39,1.39773e+07,28,1e-06
1003.94,1.55772e+07,29,1e-06
1003.57,1.7177e+07,30,1e-06
1003.27,1.87769e+07,31,1e-06
1003.01,2.03769e+07,32,1e-06
1002.79,2.19768e+07,33,1e-06
1002.6,2.35767e+07,34,1e-06
1002.43,2.51767e+07,35,1e-06
1002.29,2.67766e+07,36,1e-06
1002.16,2.83766e+07,37,1e-06
1002.04,2.99765e+07,38,1e-06
1001.94,3.15765e+07,39,1e-06
1001.85,3.31765e+07,40,1e-06
1001.76,3.47765e+07,41,1e-06
