t,popsize,population,resource input
8.62838,0.000112352,N1,16
8.66448,19.0943,N0,16
8.66448,0.000113495,N1,16
8.70043,19.3294,N0,16
8.70043,0.000114645,N1,16
8.73624,19.5664,N0,16
8.73624,0.000115801,N1,16
8.7719,19.8054,N0,16
8.7719,0.000116965,N1,16
8.80741,20.0462,N0,16
8.80741,0.000118135,N1,16
8.84278,20.2891,N0,16
8.84278,0.000119313,N1,16
8.87802,20.5339,N0,16
8.87802,0.000120497,N1,16
8.91311,20.7806,N0,16
8.91311,0.000121688,N1,16
8.94806,21.0293,N0,16
8.94806,0.000122887,N1,16
8.98287,21.28,N0,16
8.98287,0.000124092,N1,16
9.01754,21.5327,N0,16
9.01754,0.000125304,N1,16
9.05208,21.7873,N0,16
9.05208,0.000126523,N1,16
9.08649,22.044,N0,16
9.08649,0.00012775,N1,16
9.12076,22.3026,N0,16
9.12076,0.000128983,N1,16
9.15489,22.5633,N0,16
9.15489,0.000130223,N1,16
9.1889,22.826,N0,16
9.1889,0.000131471,N1,16
9.22277,23.0907,N0,16
9.22277,0.000132725,N1,16
9.25652,23.3575,N0,16
9.25652,0.000133987,N1,16
9.29013,23.6263,N0,16
9.29013,0.000135256,N1,16
9.32362,23.8971,N0,16
9.32362,0.000136531,N1,16
9.35698,24.1701,N0,16
9.35698,0.000137814,N1,16
9.39021,24.445,N0,16
9.39021,0.000139104,N1,16
9.42332,24.7221,N0,16
9.42332,0.000140402,N1,16
9.45631,25.0012,N0,16
9.45631,0.000141706,N1,16
9.48917,25.2825,N0,16
9.48917,0.000143018,N1,16
9.52191,25.5658,N0,16
9.52191,0.000144336,N1,16
9.55453,25.8513,N0,16
9.55453,0.000145662,N1,16
9.58702,26.1388,N0,16
9.58702,0.000146996,N1,16
9.6194,26.4285,N0,16
9.6194,0.000148336,N1,16
9.65166,26.7203,N0,16
9.65166,0.000149684,N1,16
9.6838,27.0143,N0,16
9.6838,0.000151039,N1,16
9.71583,27.3104,N0,16
9.71583,0.000152401,N1,16
9.74773,27.6086,N0,16
9.74773,0.00015377,N1,16
9.77953,27.909,N0,16
9.77953,0.000155147,N1,16
9.81121,28.2116,N0,16
9.81121,0.000156531,N1,16
9.84277,28.5163,N0,16
9.84277,0.000157922,N1,16
9.87422,28.8233,N0,16
9.87422,0.000159321,N1,16
9.90556,29.1324,N0,16
9.90556,0.000160727,N1,16
9.93679,29.4438,N0,16
9.93679,0.00016214,N1,16
9.96791,29.7573,N0,16
9.96791,0.000163561,N1,16
9.99892,30.073,N0,16
9.99892,0.000164989,N1,16
10.0298,30.391,N0,16
10.0298,0.000166425,N1,16
10.0606,30.7112,N0,16
10.0606,0.000167868,N1,16
10.0913,31.0337,N0,16
10.0913,0.000169318,N1,16
10.1219,31.3584,N0,16
10.1219,0.000170776,N1,16
10.1523,31.6854,N0,16
10.1523,0.000172241,N1,16
10.1827,32.0146,N0,16
10.1827,0.000173713,N1,16
10.213,32.3461,N0,16
10.213,0.000175194,N1,16
10.2431,32.6798,N0,16
10.2431,0.000176681,N1,16
10.2732,33.0159,N0,16
10.2732,0.000178176,N1,16
10.3031,33.3542,N0,16
10.3031,0.000179679,N1,16
10.333,33.6949,N0,16
10.333,0.000181189,N1,16
10.3627,34.0378,N0,16
10.3627,0.000182706,N1,16
10.4219,34.7307,N0,16
